date,exp,imp,imae,crude_oil_brent,gas_henry_hub,treasury3month,yuan_dollar_spot_tc,usdollar_euro,ue_m,ue_x,usa_x,usa_m,chn_x,chn_m,year,month
2009-06-01,6.332749888793962,6.707977309740218,73.42574529,68.60954545454545,3.800454545454545,0.1768181818181818,6.833422727272727,1.4014454545454549,143946020320.413,148564920215.307,129796.0,156948.0,94399423274.8493,85538823166.7986,2009,6
2009-07-01,6.243453411006049,6.709738730190013,72.92745027,64.43545454545455,3.3836363636363638,0.1836363636363636,6.831691304347825,1.4091652173913043,145727808403.773,153403350483.891,131878.0,165185.0,98502926186.1044,88729557439.6651,2009,7
2009-08-01,6.28369040275524,6.7287704603564364,71.99750205,72.50857142857143,3.1409523809523807,0.1714285714285714,6.8322666666666665,1.4266238095238095,149762196861.626,150747360912.98102,132566.0,164240.0,98715589367.317,88342151962.7033,2009,8
2009-09-01,6.222556346702304,6.6573657868887,73.6351643,67.64619047619047,2.986666666666667,0.1233333333333333,6.827671428571429,1.4575142857142858,157351277976.427,158264375579.394,137047.0,172294.0,108037240297.331,95691529475.8285,2009,9
2009-10-01,6.318813152028776,6.806198958777287,76.77291334,72.76954545454545,4.007727272727273,0.0742857142857142,6.826671428571428,1.4821142857142855,158678814814.815,160574518518.518,141056.0,176015.0,110615656881.314,95805686123.7317,2009,10
2009-11-01,6.268324567449248,6.805368483266464,78.1830641,76.662,3.663,0.0521052631578947,6.827063157894737,1.4907526315789474,162499975133.038,164564032426.518,142075.0,180456.0,105262737237.831,95564926632.6216,2009,11
2009-12-01,6.243131798644998,6.772394255134167,78.34963932,74.45636363636363,5.347727272727273,0.0545454545454545,6.827454545454546,1.4578545454545455,161323742556.696,164681515266.69202,145480.0,184906.0,118470204202.671,103016361689.247,2009,12
2010-01-01,6.256328936311286,6.738795465937992,75.09525328,76.16736842105263,5.832105263157895,0.061578947368421,6.826915789473684,1.4265736842105263,164378453376.862,161037278106.509,145718.0,183462.0,114756217517.438,100924618999.816,2010,1
2010-02-01,6.3549219953815195,6.692188554358587,73.52517788,73.75210526315789,5.32,0.1089473684210526,6.8284631578947375,1.3679947368421053,156412807005.542,158870356434.289,146849.0,188353.0,129332931304.977,106534920772.385,2010,2
2010-03-01,6.583458702857119,6.87985962027085,79.9241067,78.82739130434783,4.290869565217391,0.1504347826086956,6.826182608695651,1.357004347826087,167385074626.866,166224151967.436,151080.0,191351.0,116158404928.32,110587540201.218,2010,3
2010-04-01,6.429117450566636,6.853994671954243,73.27217392,84.81761904761905,4.033809523809524,0.1622727272727273,6.825550000000001,1.3416818181818182,165219142717.974,163721712128.592,150006.0,191502.0,122366103468.502,112898089055.853,2010,4
2010-05-01,6.506119974405251,6.874618859311398,75.74427135,75.94550000000001,4.14,0.16,6.827450000000001,1.256315,164141325431.035,160208979885.058,153819.0,195907.0,132784338373.46,114308877502.49,2010,5
2010-06-01,6.422363913613574,6.836860877095929,76.42509666,74.7609090909091,4.801363636363636,0.1236363636363636,6.818440909090909,1.2223363636363638,162326591552.423,159123117056.114,153326.0,200642.0,135771413536.335,115834044302.81,2010,6
2010-07-01,6.418726455082736,6.982455583958559,76.12531458,75.58,4.626666666666667,0.1576190476190476,6.776233333333334,1.281057142857143,171379296716.07098,169508049985.469,156763.0,198373.0,135974315419.122,113982387201.411,2010,7
2010-08-01,6.353247598224744,6.853765525403384,75.5798649,77.03954545454545,4.315,0.155,6.787286363636364,1.2902909090909092,172992684213.612,170964851398.089,157769.0,203387.0,133165437662.96,118226869363.75,2010,8
2010-09-01,6.354661287059302,6.824598756426637,77.14353988,77.8404761904762,3.894285714285714,0.1519047619047619,6.739647619047619,1.3102857142857145,174709401404.26,174571295965.72598,158624.0,202958.0,135718666063.829,120027815078.069,2010,9
2010-10-01,6.428147357550227,6.9512237459493065,79.73795908,82.6647619047619,3.4342857142857146,0.1345,6.667789999999999,1.390095,186575972222.222,189149583333.333,164234.0,204880.0,136214304388.264,122606627072.541,2010,10
